restaurant_id,name,price,timeslots,location,cuisine,city
425748,PizzaExpress London - St Martins Lane,Moderate,23:00,west_end_london,Pizzeria,Covent Garden
77755,Il Cucciolo,Expensive,22:30,west_end_london,Italian,Piccadilly
33475,Gaucho Charlotte Street,Expensive,22:30,west_end_london,Steak,Fitzrovia
85777,Radio Rooftop,Expensive,"23:00, 23:30, 00:00",west_end_london,Contemporary Asian,Covent Garden
425619,PizzaExpress London - Coptic Street,Moderate,23:00,west_end_london,Pizzeria,Bloomsbury
418905,Mediterranean Cafe Soho,Moderate,22:30,west_end_london,Mediterranean,Soho
85711,28-50 Marylebone,Expensive,22:30,west_end_london,European,Marylebone
126081,Demartino,Moderate,"23:00, 23:30, 00:00",west_end_london,Italian,Fitzrovia
421632,PizzaExpress London Baker Street,Moderate,23:00,west_end_london,Pizzeria,Marylebone
167259,Soho Wala,Moderate,23:00,west_end_london,Indian,Soho
398691,The Alchemist St Martins Lane,Expensive,22:30,west_end_london,Cocktail Bar,Covent Garden
425625,PizzaExpress London - Dean Street,Moderate,23:00,west_end_london,Pizzeria,Soho
402612,Paradiso Soho,Moderate,23:00,west_end_london,Burgers,Soho
127566,Blind Spot London,Expensive,"23:00, 23:30, 00:00",west_end_london,Cocktail Bar,Covent Garden
109311,The May Fair Bar,Moderate,"23:00, 23:30, 00:00",west_end_london,Bar / Lounge / Bottle Service,Mayfair
96762,Briciole Restaurant,Moderate,22:30,west_end_london,Italian,Marylebone
28516,Zayna,Expensive,22:30,west_end_london,Indian,Marble Arch
76432,L'ulivo Villiers Street,Expensive,23:00,west_end_london,Italian,Charing Cross
318339,Paper Moon London,Very Expensive,22:30,west_end_london,Italian,Westminster
258627,Eve Bar by Adam Handling,Expensive,"23:00, 23:30, 00:00",west_end_london,Bar / Lounge / Bottle Service,Covent Garden
455418,Chargal Mayfairnew,Expensive,22:30,west_end_london,Mediterranean,Mayfair
456708,Market Place Food Hall Leicester Squarenew,Moderate,23:00,west_end_london,"Global, International",Leicester Square
394242,Limoncello Restaurant Leicester Squarenew,Expensive,"23:00, 23:30",west_end_london,Italian,Leicester Square
369366,City Masala,Moderate,22:30,west_end_london,Indian,Holborn
442707,Fifth Element Clevelandnew,Expensive,22:30,west_end_london,Italian,Fitzrovia
442023,Fitz's Bar & Parlour,Moderate,"23:00, 23:30, 00:00",west_end_london,Bar / Lounge / Bottle Service,Bloomsbury
